Authors,Paper year,Year,Warming,Country,Sector,GDP Loss (%),Type,Region,Method,Warming - Original,Comment,Paper
Takakura et al.,2019,2099,2.9,Europe,Occupational-health cost,0.18821285610622,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Thermalpower generation,-0.0461285776771327,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Undernourishment,-0.0079482874971821,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Agricultural productivity,-0.184913528777293,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Coastal innundation,-0.023795770663565,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Cooling/heating demand,-3.38552257495149,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Fluvial flood,0.0017929018843451,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Heat-related excess mortality,-2.04600504789946,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Hydropower generation,-0.0124779000153049,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Occupational-health cost,0.147436135767487,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Thermalpower generation,-0.101570468187952,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,Undernourishment,-0.127152007215965,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,All,-1.2571400174532994,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,All,-2.52944317901527,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,All,-3.219154332053159,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,4.4,Europe,All,-5.732208260059198,Scientific paper,Europe,Direct impacts,RCP8.5,,Takakura et al. 2019
Bosello et al.,2012,2050,1.92,MEUR,All,-0.15,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Energy Demand,-0.05,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Tourism,0.07,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,SLR,-0.02,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Floodings,-0.005,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Agriculture,0.06,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Forestry,-0.005,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,MEUR,Health,-0.19,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,All,0.18,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Energy Demand,-0.07,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Tourism,0.15,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,SLR,-0.11,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Floodings,-0.01,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Agriculture,0.23,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Forestry,0.0,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Bosello et al.,2012,2050,1.92,NEUR,Health,0.0,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Bosello et al. 2012
Kompas et al.,2018,2100,1.0,France,All,-0.139,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2100,2.0,France,All,-0.285,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2100,3.0,France,All,-0.455,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2100,4.0,France,All,-0.662,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2027,1.3,France,All,0.048,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2037,1.5,France,All,0.088,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2047,1.8,France,All,0.117,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Kompas et al.,2018,2067,2.2,France,All,0.141,Scientific paper,France,Final impacts (bottom-up + sector interactions),,,Kompas et al. 2018
Dellink et al.,2019,2060,2.5,EU 4 Large,All,-0.14,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Dellink et al. 2019
Dellink et al.,2019,2060,2.5,EU 4 Large,Health,-0.04,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Dellink et al. 2019
Dellink et al.,2019,2060,2.5,EU 4 Large,Energy Demand,-0.03,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Dellink et al. 2019
Dellink et al.,2019,2060,2.5,EU 4 Large,Coastal Zones,-0.02,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Dellink et al. 2019
Dellink et al.,2019,2060,2.5,EU 4 Large,Agriculture,-0.05,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Dellink et al. 2019
Burke et al.,2015,2050,2.4,France,All,4.736288777124921,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Burke et al. 2015
Burke et al.,2015,2100,4.4,France,All,9.625309901095145,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Burke et al. 2015
Pretis et al.,2018,2100,1.5,France,All,0.0,Scientific paper,France,Final impacts (econometrics),,,Pretis et al. 2018
Pretis et al.,2018,2100,2.0,France,All,0.0,Scientific paper,France,Final impacts (econometrics),,,Pretis et al. 2018
Kalkuhl and Wenz,2020,2050,2.0,France,All,-1.00526991649741,NGFS,France,Final impacts (econometrics),Current Policies,GCAM,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,3.0,France,All,-2.67600888507753,NGFS,France,Final impacts (econometrics),Current Policies,GCAM,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2050,1.7,France,All,-0.641231154673605,NGFS,France,Final impacts (econometrics),Net Zero 2050,GCAM,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,1.4,France,All,-0.367374804285892,NGFS,France,Final impacts (econometrics),Net Zero 2050,GCAM,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2050,2.0,France,All,-0.933022341955725,NGFS,France,Final impacts (econometrics),Current Policies,MESSAGE,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,3.0,France,All,-2.18827216571534,NGFS,France,Final impacts (econometrics),Current Policies,MESSAGE,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2050,1.7,France,All,-0.598348891706235,NGFS,France,Final impacts (econometrics),Net Zero 2050,MESSAGE,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,1.4,France,All,-0.324689043040483,NGFS,France,Final impacts (econometrics),Net Zero 2050,MESSAGE,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2050,2.0,France,All,-0.941240363071516,NGFS,France,Final impacts (econometrics),Current Policies,REMIND,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,3.0,France,All,-2.194318051978331,NGFS,France,Final impacts (econometrics),Current Policies,REMIND,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2050,1.7,France,All,-0.5107364407463179,NGFS,France,Final impacts (econometrics),Net Zero 2050,REMIND,Kalkuhl and Wenz 2020
Kalkuhl and Wenz,2020,2100,1.4,France,All,-0.182025990170986,NGFS,France,Final impacts (econometrics),Net Zero 2050,REMIND,Kalkuhl and Wenz 2020
Acevedo et al.,2020,2100,1.0,France,All,0.0,Scientific paper,France,Final impacts (econometrics),,,Acevedo et al. 2020
Kahn et al.,2021,2050,1.7,France,All,0.22,Scientific paper,France,Final impacts (econometrics),RCP2.6,,Kahn et al. 2021
Kahn et al.,2021,2100,1.8,France,All,0.42,Scientific paper,France,Final impacts (econometrics),RCP2.6,,Kahn et al. 2021
Kahn et al.,2021,2050,2.4,France,All,-1.41,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Kahn et al. 2021
Kahn et al.,2021,2100,4.4,France,All,-4.35,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Kahn et al. 2021
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,Agriculture,-0.11,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,Water,0.4,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,Tourism,0.06,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,Energy Demand,0.0,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,Labour Productivity,0.78,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,SLR,0.04,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Roson & van der Mensbrugghe,2012,2100,4.8,Europe,All,1.17,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),,,Roson & van der Mensbrugghe 2012
Rose et al.,2017,2050,1.0,Western Europe,All,0.043,Scientific paper,Europe,Damage functions,,FUND,Rose et al. 2017
Rose et al.,2017,2050,2.0,Western Europe,All,0.022,Scientific paper,Europe,Damage functions,,FUND,Rose et al. 2017
Rose et al.,2017,2050,3.0,Western Europe,All,-0.029,Scientific paper,Europe,Damage functions,,FUND,Rose et al. 2017
Rose et al.,2017,2050,4.0,Western Europe,All,-0.113,Scientific paper,Europe,Damage functions,,FUND,Rose et al. 2017
Rose et al.,2017,2050,5.0,Western Europe,All,-0.225,Scientific paper,Europe,Damage functions,,FUND,Rose et al. 2017
Rose et al.,2017,2050,1.0,EU,All,-0.07,Scientific paper,Europe,Damage functions,,PAGE,Rose et al. 2017
Rose et al.,2017,2050,2.0,EU,All,-0.167,Scientific paper,Europe,Damage functions,,PAGE,Rose et al. 2017
Rose et al.,2017,2050,3.0,EU,All,-0.357,Scientific paper,Europe,Damage functions,,PAGE,Rose et al. 2017
Rose et al.,2017,2050,4.0,EU,All,-0.7,Scientific paper,Europe,Damage functions,,PAGE,Rose et al. 2017
Rose et al.,2017,2050,5.0,EU,All,-1.174,Scientific paper,Europe,Damage functions,,PAGE,Rose et al. 2017
Kotz et al.,2024,2050,1.7,France,All,-11.323161001087527,Scientific paper,France,Final impacts (econometrics),RCP2.6,,Kotz et al. 2024
Kotz et al.,2024,2100,1.8,France,All,-11.68587243548481,Scientific paper,France,Final impacts (econometrics),RCP2.6,,Kotz et al. 2024
Kotz et al.,2024,2050,2.4,France,All,-15.808399600246958,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Kotz et al. 2024
Kotz et al.,2024,2100,4.4,France,All,-46.68215763538761,Scientific paper,France,Final impacts (econometrics),RCP8.5,,Kotz et al. 2024
Neal et al.,2025,2100,1.8,France,All,9.524133384332593,Scientific paper,France,Final impacts (econometrics),RCP2.6,Khan2021+GW,Neal et al. 2025
Neal et al.,2025,2100,4.4,France,All,-8.344315849367556,Scientific paper,France,Final impacts (econometrics),RCP8.5,Khan2021+GW,Neal et al. 2025
Neal et al.,2025,2100,1.8,France,All,-71.5488751568376,Scientific paper,France,Final impacts (econometrics),RCP2.6,Burke2015+GW,Neal et al. 2025
Neal et al.,2025,2100,4.4,France,All,-95.46091087784241,Scientific paper,France,Final impacts (econometrics),RCP8.5,Burke2015+GW,Neal et al. 2025
Neal et al.,2025,2100,1.8,France,All,-7.817180338143949,Scientific paper,France,Final impacts (econometrics),RCP2.6,Kotz2021+GW,Neal et al. 2025
Neal et al.,2025,2100,4.4,France,All,-40.140500207946914,Scientific paper,France,Final impacts (econometrics),RCP8.5,Kotz2021+GW,Neal et al. 2025
Van Der Wijst et al.,2023,2100,2.9,Europe and North America,All,-5.17,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),RCP6.0,,Van Der Wijst et al. 2023
Van Der Wijst et al.,2023,2100,1.8,Europe and North America,All,-1.58,Scientific paper,Europe,Final impacts (bottom-up + sector interactions),RCP2.6,,Van Der Wijst et al. 2023
Waidelich et al.,2024,2100,3.0,France,All,-7.75584360033659,Scientific paper,France,Final impacts (econometrics),,,Waidelich et al. 2024
Mohaddes et al.,2024,2050,1.7,France,All,0.2219772,Scientific paper,France,Final impacts (econometrics),%Loss_SSP1-2.6,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,1.8,France,All,0.4237539,Scientific paper,France,Final impacts (econometrics),%Loss_SSP1-2.6,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.0,France,All,-0.0295111,Scientific paper,France,Final impacts (econometrics),%Loss_SSP2-4.5,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,2.7,France,All,-0.0760435,Scientific paper,France,Final impacts (econometrics),%Loss_SSP2-4.5,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.1,France,All,-0.6188165,Scientific paper,France,Final impacts (econometrics),%Loss_SSP3-7.0,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,3.6,France,All,-1.8864189999999998,Scientific paper,France,Final impacts (econometrics),%Loss_SSP3-7.0,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.4,France,All,-1.41172,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,4.4,France,All,-4.35025,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Standard,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.4,France,All,-0.2019415,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Faster Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,4.4,France,All,-0.7575185,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Faster Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.4,France,All,-3.015009,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Slower Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,4.4,France,All,-8.142626,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,Slower Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.4,France,All,-6.658404,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,No Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,4.4,France,All,-16.85027,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5,No Adaptation,Mohaddes et al. 2024
Mohaddes et al.,2024,2050,2.4,France,All,-3.807687,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5_Vol(m=50),Volatility,Mohaddes et al. 2024
Mohaddes et al.,2024,2100,4.4,France,All,-9.611084,Scientific paper,France,Final impacts (econometrics),%Loss_SSP5-8.5_Vol(m=50),Volatility,Mohaddes et al. 2024
Deloitte,2021,2070,2.3,France,All,-2.2,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Public and private service sectors,-1.1846153846153846,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Manufacturing,-0.44000000000000006,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Retail and tourism,-0.2707692307692308,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Construction,-0.18615384615384617,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Transport,-0.11846153846153848,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Clean energy,-0.050769230769230775,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Water and utilities,-0.016923076923076926,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Conventional energy,-0.016923076923076926,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Natural resources and mining,-0.003384615384615385,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Deloitte,2021,2070,2.3,France,Agriculture and forestry,0.0016923076923076924,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Deloitte 2021
Moody's,2019,2048,1.6,France,All,0.03,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP2.6,,Moody's 2019
Moody's,2019,2048,2.0,France,All,0.05,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP4.5,,Moody's 2019
Moody's,2019,2048,2.1,France,All,0.04,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,,Moody's 2019
Moody's,2019,2048,2.4,France,All,0.08,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP8.5,,Moody's 2019
Swiss Re,2021,2050,1.7,France,All,-0.3,Grey literature,France,Final impacts (bottom-up + sector interactions),Below 2°C,Direct Result,Swiss Re 2021
Swiss Re,2021,2050,2.0,France,All,-0.9,Grey literature,France,Final impacts (bottom-up + sector interactions),2°C,Direct Result,Swiss Re 2021
Swiss Re,2021,2050,2.6,France,All,-0.9,Grey literature,France,Final impacts (bottom-up + sector interactions),2.6°C,Direct Result,Swiss Re 2021
Swiss Re,2021,2050,3.2,France,All,-1.2,Grey literature,France,Final impacts (bottom-up + sector interactions),3.2°C,Direct Result,Swiss Re 2021
Swiss Re,2021,2050,1.7,France,All,-3.5,Grey literature,France,Final impacts (bottom-up + sector interactions),Below 2°C,Tipping points,Swiss Re 2021
Swiss Re,2021,2050,2.0,France,All,-9.9,Grey literature,France,Final impacts (bottom-up + sector interactions),2°C,Tipping points,Swiss Re 2021
Swiss Re,2021,2050,2.6,France,All,-10.0,Grey literature,France,Final impacts (bottom-up + sector interactions),2.6°C,Tipping points,Swiss Re 2021
Swiss Re,2021,2050,3.2,France,All,-13.1,Grey literature,France,Final impacts (bottom-up + sector interactions),3.2°C,Tipping points,Swiss Re 2021
COACCH,2021,2050,2.1,France,Energy Demand,-0.2,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Labour productivity,-0.48,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Riverine floods,-0.74,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Sea level rise,-1.33,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Transport,-0.095,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Fisheries,0.22,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Agriculture,0.11,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,All,-2.62,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,High Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Energy Demand,-0.18,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Labour productivity,-0.42,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Riverine floods,-0.083,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Transport,-0.092,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Sea level rise,0.155,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Fisheries,0.063,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,Agriculture,0.1,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
COACCH,2021,2050,2.1,France,All,-0.46,Grey literature,France,Final impacts (bottom-up + sector interactions),RCP6.0,Low Investment Mobility,COACCH 2021
JRC,2020,2050,1.5,Central South Europe,Energy,0.007,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,1.5,Central South Europe,Agriculture,0.0,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,1.5,Central South Europe,Droughts,0.015,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,1.5,Central South Europe,Rivers floods,-0.082,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
